,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Cleaned Gene Symbols
15009,ILMN_2671344,1.0,0.9969858,0.004070000000000001,-5.1816,0.00488,Adamts12,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12",ADAMTS12
33331,ILMN_3161887,1.0,0.9035001,0.125,-5.654,0.0406,Adamts15,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15",ADAMTS15
22218,ILMN_2624328,1.0,0.5405623,-0.635,-5.4694,-0.105,Adamts7,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7",ADAMTS7
31581,ILMN_1254543,1.0,0.8458621999999999,0.2,-5.6421,0.0677,Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",ADAMTS9
9566,ILMN_2459899,1.0,0.2165865,1.33,-4.8848,0.23,Adamtsl4,ADAMTS-like 4,ADAMTSL4
3825,ILMN_2441249,1.0,0.0968476,1.9,-4.1787,1.23,Adar,"adenosine deaminase, RNA-specific",ADAR
27274,ILMN_3105343,1.0,0.698268,0.4,-5.5843,0.0509,Adarb1,"adenosine deaminase, RNA-specific, B1",ADARB1
21596,ILMN_2656440,1.0,0.5214455,0.6659999999999999,-5.4507,0.109,Adck1,aarF domain containing kinase 1,ADCK1
3619,ILMN_1222224,1.0,0.08291119999999999,-1.94,-4.1504,-1.25,Adck2,aarF domain containing kinase 2,ADCK2
32981,ILMN_2918317,1.0,0.8918096,0.14,-5.652,0.0299,Adck5,aarF domain containing kinase 5,ADCK5
8941,ILMN_2883063,1.0,0.23233220000000002,1.3,-4.8348,1.37,Adcy2,adenylate cyclase 2,ADCY2
18473,ILMN_2666118,1.0,0.4723376,0.753,-5.3446,0.364,Adcy3,adenylate cyclase 3,ADCY3
1772,ILMN_3075672,1.0,0.0663138,-2.44,-3.8085,-1.92,Adcy5,adenylate cyclase 5,ADCY5
1557,ILMN_1249888,1.0,0.0484342,2.27,-3.7193,0.354,Adcy6,adenylate cyclase 6,ADCY6
19724,ILMN_2659063,1.0,0.9049391,0.125,-5.3892,0.13,Add1,adducin 1 (alpha),ADD1
172,ILMN_2552900,1.0,0.0055513,-5.1,-2.3939,-3.39,Add2,adducin 2 (beta),ADD2
11851,ILMN_2588671,1.0,0.288066,-1.13,-5.0335,-0.8240000000000001,Add3,adducin 3 (gamma),ADD3
12156,ILMN_2813724,1.0,0.9578499,-0.0629,-5.0488,-0.0385,Adgrb2,adhesion G protein-coupled receptor B2,ADGRB2
22699,ILMN_3113571,1.0,0.6202249,0.515,-5.4835,0.19899999999999998,Adgrg2,adhesion G protein-coupled receptor G2,ADGRG2
23163,ILMN_2783852,1.0,0.5688979000000001,-0.59,-5.4949,-0.129,Adgrl1,adhesion G protein-coupled receptor L1,ADGRL1
14658,ILMN_1231103,1.0,0.32546420000000004,-1.04,-5.1675,-0.575,Adgrl2,adhesion G protein-coupled receptor L2,ADGRL2
2361,ILMN_2537421,1.0,0.09676610000000001,2.29,-3.992,1.15,Adgrl3,adhesion G protein-coupled receptor L3,ADGRL3
36107,ILMN_1224540,1.0,0.9973502000000001,0.0034100000000000003,-5.6615,0.000601,Adgrl4,adhesion G protein-coupled receptor L4,ADGRL4
15603,ILMN_1257597,1.0,0.42632470000000006,-0.8420000000000001,-5.2134,-0.5329999999999999,Adgrv1,adhesion G protein-coupled receptor V1,ADGRV1
329,ILMN_1222765,1.0,0.016775,2.98,-2.8348,1.65,Adhfe1,"alcohol dehydrogenase, iron containing, 1",ADHFE1
9269,ILMN_3065603,1.0,0.4762217000000001,0.843,-4.8609,1.1,Adi1,acireductone dioxygenase 1,ADI1
25413,ILMN_1213531,1.0,0.6392021999999999,0.484,-5.5486,0.0602,Adipor1,adiponectin receptor 1,ADIPOR1
8004,ILMN_1251776,1.0,0.1787308,1.45,-4.7438,0.867,Adipor2,adiponectin receptor 2,ADIPOR2
21794,ILMN_2986899,1.0,0.5277245,-0.6559999999999999,-5.4569,-0.135,Adk,adenosine kinase,ADK
24062,ILMN_1247207,1.0,0.5954501999999999,-0.55,-5.5168,-0.146,Adm,adrenomedullin,ADM
24697,ILMN_2596056,1.0,0.6162516,0.518,-5.5325,0.10300000000000001,Adnp2,ADNP homeobox 2,ADNP2
28600,ILMN_3082206,1.0,0.9337305,0.0857,-5.6064,0.0561,Ado,2-aminoethanethiol (cysteamine) dioxygenase,ADO
544,ILMN_3065420,1.0,0.0256051,-3.06,-3.1394,-3.22,Adora1,adenosine A1 receptor,ADORA1
22384,ILMN_1244424,1.0,0.5458837,0.627,-5.4743,0.187,Adora2b,adenosine A2b receptor,ADORA2B
4110,ILMN_1215394,1.0,0.10976040000000001,-1.86,-4.2171,-1.4,Adpgk,ADP-dependent glucokinase,ADPGK
10580,ILMN_2595704,1.0,0.23917919999999998,1.26,-4.956,0.14300000000000002,Adprh,ADP-ribosylarginine hydrolase,ADPRH
18856,ILMN_1257998,1.0,0.4391532,-0.8079999999999999,-5.3549,-0.162,Adprhl1,ADP-ribosylhydrolase like 1,ADPRHL1
20209,ILMN_2639063,1.0,0.4798879,-0.736,-5.4056,-0.452,Adprhl2,ADP-ribosylhydrolase like 2,ADPRHL2
34245,ILMN_1226476,1.0,0.9346129999999999,0.0843,-5.6581,0.0122,Adprm,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",ADPRM
24834,ILMN_2466647,1.0,0.9590184000000002,-0.0532,-5.5357,-0.0632,Adra1b,"adrenergic receptor, alpha 1b",ADRA1B
13669,ILMN_2457727,1.0,0.3315344,-1.03,-5.1275,-0.722,Adrb1,"adrenergic receptor, beta 1",ADRB1
26584,ILMN_1241610,1.0,0.6747025,-0.433,-5.571000000000001,-0.0788,Adrb2,"adrenergic receptor, beta 2",ADRB2
34529,ILMN_2601590,1.0,0.9441184000000001,-0.072,-5.659,-0.009590000000000001,Adrm1,adhesion regulating molecule 1,ADRM1
17434,ILMN_1255090,1.0,0.5369782,-0.652,-5.301,-0.517,Adsl,adenylosuccinate lyase,ADSL
7,ILMN_1251260,1.0,0.000859,4.81,-0.5444,1.34,Adss,"adenylosuccinate synthetase, non muscle",ADSS
6394,ILMN_2873822,1.0,0.1391606,-1.62,-4.5547,-0.221,Aebp1,AE binding protein 1,AEBP1
6751,ILMN_3040064,1.0,0.3097656,1.29,-4.6027,3.1,Aebp2,AE binding protein 2,AEBP2
26576,ILMN_2924083,1.0,0.6744321999999999,-0.434,-5.5709,-0.259,Aen,apoptosis enhancing nuclease,AEN
26644,ILMN_2808336,1.0,0.6767019000000001,0.43,-5.5722,0.0589,Aes,amino-terminal enhancer of split,AES
31771,ILMN_3154640,1.0,0.8527474,0.191,-5.6438,0.038,Aff1,"AF4/FMR2 family, member 1",AFF1
14664,ILMN_1251170,1.0,0.3255619,-1.04,-5.1677,-0.256,Aff4,"AF4/FMR2 family, member 4",AFF4
29369,ILMN_1252992,1.0,0.7643072,0.309,-5.6153,0.0801,Afg3l2,AFG3-like AAA ATPase 2,AFG3L2
42666,ILMN_2673077,,,,,,Aga,aspartylglucosaminidase,AGA
23447,ILMN_2577790,1.0,0.5758933,-0.58,-5.5009,-0.153,Agap1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",AGAP1
2154,ILMN_2754596,1.0,0.0635852,2.1,-3.9385,0.348,Agap3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",AGAP3
13876,ILMN_2606072,1.0,0.3101528,1.07,-5.1355,0.474,Agfg1,ArfGAP with FG repeats 1,AGFG1
10942,ILMN_2610270,1.0,0.24693479999999998,1.24,-4.9786,0.74,Agfg2,ArfGAP with FG repeats 2,AGFG2
12626,ILMN_2596231,1.0,0.30576420000000004,1.09,-5.0738,0.8590000000000001,Aggf1,angiogenic factor with G patch and FHA domains 1,AGGF1
1361,ILMN_1221825,1.0,0.0487794,-3.03,-3.6476,-3.57,Agk,acylglycerol kinase,AGK
19071,ILMN_2449088,1.0,0.56104,-0.609,-5.3636,-0.409,Agl,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase",AGL
31077,ILMN_2609056,1.0,0.8271757,-0.225,-5.6370000000000005,-0.0845,Ago2,argonaute RISC catalytic subunit 2,AGO2
10509,ILMN_2666445,1.0,0.2373121,-1.26,-4.9504,-0.27,Agpat1,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)",AGPAT1
3017,ILMN_1217252,1.0,0.075057,-2.0,-4.0712,-0.319,Agpat2,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)",AGPAT2
28813,ILMN_1226540,1.0,0.7484145000000001,-0.33,-5.6087,-0.159,Agpat3,1-acylglycerol-3-phosphate O-acyltransferase 3,AGPAT3
29807,ILMN_2960714,1.0,0.780561,0.287,-5.6216,0.0422,Agpat4,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)",AGPAT4
31673,ILMN_1250939,1.0,0.8490030000000001,0.196,-5.6429,0.0272,Agpat5,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)",AGPAT5
4810,ILMN_1242491,1.0,0.10322010000000001,-1.81,-4.3232,-0.8690000000000001,Agps,alkylglycerone phosphate synthase,AGPS
